"X","Y","Grid","newDDM_LAT","newDDM_LON"
-76.4594078476643,44.2574188080758,122,"44 15.445","76 27.564"
-76.4453419851516,44.1945761882984,123,"44 11.675","76 26.721"
-76.4455620682694,44.2035765131316,124,"44 12.215","76 26.734"
-76.4462229333687,44.2305773969755,125,"44 13.835","76 26.773"
-76.4328320995307,44.1947338078082,126,"44 11.684","76 25.97"
-76.4330502793564,44.2037341818556,127,"44 12.224","76 25.983"
-76.4332685608815,44.2127345408089,128,"44 12.764","76 25.996"
-76.4337054292588,44.2307352134311,129,"44 13.844","76 26.022"
-76.4721554894803,44.2662582180698,130,"44 15.975","76 28.329"
-76.4596305595449,44.2664189773874,131,"44 15.985","76 27.578"
-76.4598533753055,44.2754191315707,132,"44 16.525","76 27.591"
-76.4205383887439,44.2038904806897,133,"44 12.233","76 25.232"
-76.4207547660334,44.2128908884446,134,"44 12.773","76 25.245"
-76.4214045033464,44.2398920212273,135,"44 14.394","76 25.284"
-76.4082408703157,44.213045865733,136,"44 12.783","76 24.494"
-76.4084554432956,44.2220463067966,137,"44 13.323","76 24.507"
-76.4086701163142,44.2310467327943,138,"44 13.863","76 24.52"
-76.4088848894278,44.2400471437255,139,"44 14.403","76 24.533"
-76.4090997626926,44.2490475395896,140,"44 14.943","76 24.546"
-76.3957268746154,44.2131994726445,141,"44 12.792","76 23.744"
-76.3959395423598,44.2221999616691,142,"44 13.332","76 23.756"
-76.3961523092554,44.2312004356423,143,"44 13.872","76 23.769"
-76.396578140723,44.2492013384321,144,"44 14.952","76 23.795"
-76.3834235422729,44.2223522457077,145,"44 13.341","76 23.005"
-76.3836344029896,44.2313527672286,146,"44 13.881","76 23.018"
-76.3840564194349,44.2493537651569,147,"44 14.961","76 23.043"
-76.384267575274,44.2583542415632,148,"44 15.501","76 23.056"
-76.4473264311504,44.2755785678259,149,"44 16.535","76 26.84"
-76.4475474396196,44.2845787566569,150,"44 17.075","76 26.853"
